id,rating,wins,losses,games
resp_002,4094.763343708363,3,0,3
resp_005,3150.6547476564792,2,1,3
resp_003,2238.299729377857,2,1,3
resp_006,1283.9770940773813,1,2,3
resp_001,247.85608763948107,1,2,3
resp_004,-2015.5510024595624,0,3,3
